"timestamp","inputBitrate","demuxBitrate","demuxCorrupted","demuxDiscontinuity","sendBitrate","framesDisplayed","playedAudioBuffers","decodedVideo","decodedAudio","framesDisplayedAux","playedAudioBuffersAux","decodedVideoAux","decodedAudioAux","framesDisplayedCalc","playedAudioBuffersCalc","decodedVideoCalc","decodedAudioCalc"
1615939012,0,0,0,0,0,5487,9927,10949,19855,5463,9882,10899,19765,24,45,50,90
1615939013,0,0,0,0,0,5513,9972,10999,19945,5487,9927,10949,19855,26,45,50,90
1615939014,0,0,0,0,0,5538,10018,11049,20037,5513,9972,10999,19945,25,46,50,92
1615939015,0,0,0,0,0,5557,10052,11087,20105,5538,10018,11049,20037,19,34,38,68
1615939016,0,0,0,0,0,5582,10097,11137,20195,5557,10052,11087,20105,25,45,50,90
1615939017,0,0,0,0,0,5607,10142,11189,20285,5582,10097,11137,20195,25,45,52,90
1615939018,0,0,0,0,0,5633,10187,11239,20375,5607,10142,11189,20285,26,45,50,90
1615939019,0,0,0,0,0,5658,10232,11289,20465,5633,10187,11239,20375,25,45,50,90
1615939020,0,0,0,0,0,5684,10278,11341,20557,5658,10232,11289,20465,26,46,52,92
1615939021,0,0,0,0,0,5702,10311,11377,20623,5684,10278,11341,20557,18,33,36,66
1615939022,0,0,0,0,0,5726,10356,11427,20713,5702,10311,11377,20623,24,45,50,90
1615939023,0,0,0,0,0,5752,10402,11477,20805,5726,10356,11427,20713,26,46,50,92
1615939024,0,0,0,0,0,5777,10447,11529,20895,5752,10402,11477,20805,25,45,52,90
1615939025,0,0,0,0,0,5797,10483,11569,20967,5777,10447,11529,20895,20,36,40,72
1615939026,0,0,0,0,0,5824,10530,11621,21061,5797,10483,11569,20967,27,47,52,94
1615939027,0,0,0,0,0,5849,10576,11671,21153,5824,10530,11621,21061,25,46,50,92
1615939028,0,0,0,0,0,5874,10621,11721,21243,5849,10576,11671,21153,25,45,50,90
1615939029,0,0,0,0,0,5893,10655,11759,21311,5874,10621,11721,21243,19,34,38,68
1615939030,0,0,0,0,0,5919,10700,11811,21401,5893,10655,11759,21311,26,45,52,90
1615939031,0,0,0,0,0,5944,10747,11863,21495,5919,10700,11811,21401,25,47,52,94
1615939032,0,0,0,0,0,5971,10793,11915,21587,5944,10747,11863,21495,27,46,52,92
1615939033,0,0,0,0,0,5995,10838,11963,21677,5971,10793,11915,21587,24,45,48,90
1615939034,0,0,0,0,0,6014,10871,12001,21743,5995,10838,11963,21677,19,33,38,66
1615939035,0,0,0,0,0,6039,10917,12051,21835,6014,10871,12001,21743,25,46,50,92
1615939036,0,0,0,0,0,6065,10962,12103,21925,6039,10917,12051,21835,26,45,52,90
1615939037,0,0,0,0,0,6091,11009,12155,22019,6065,10962,12103,21925,26,47,52,94
1615939038,0,0,0,0,0,6110,11043,12193,22087,6091,11009,12155,22019,19,34,38,68
1615939039,0,0,0,0,0,6135,11088,12243,22177,6110,11043,12193,22087,25,45,50,90
1615939040,0,0,0,0,0,6161,11134,12295,22269,6135,11088,12243,22177,26,46,52,92
1615939041,0,0,0,0,0,6187,11181,12347,22363,6161,11134,12295,22269,26,47,52,94
1615939042,0,0,0,0,0,6206,11215,12385,22431,6187,11181,12347,22363,19,34,38,68
1615939043,0,0,0,0,0,6232,11262,12437,22525,6206,11215,12385,22431,26,47,52,94
1615939044,0,0,0,0,0,6258,11308,12489,22617,6232,11262,12437,22525,26,46,52,92
1615939045,0,0,0,0,0,6282,11353,12537,22707,6258,11308,12489,22617,24,45,48,90
1615939046,0,0,0,0,0,6302,11387,12577,22775,6282,11353,12537,22707,20,34,40,68
